Name,Region,Type,Set,Cost,FileName,ImageURL
Quallon,Weave,Creature,Dream's End,3,quallon.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/ff6dcecd-1d40-4cc2-9a06-13ed2a999441/quallon.jpg
Flugg,Weave,Creature,Dream's End,4,flugg.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/fe18aea1-c9c7-4c9d-8c14-37d065a7ff73/flugg.jpg
Alaban Kit,Arderial,Creature,Dream's End,2,alaban_kit.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/fdb26452-5bf9-4927-8486-f993745f33a4/alaban_kit.jpg
Nocturne,Naroom,Spell,Dream's End,4,nocturne.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/f9d1d9f0-9b28-4029-af96-962f3e4416fc/nocturne.jpg
Dark Furok,Core,Creature,Dream's End,6,dark_furok.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/f8913a66-5555-44c0-928b-ae5a120aac96/dark_furok.jpg
Kesia,Weave,Magi,Dream's End,14,kesia.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/f7cd3f27-8a96-46cf-84a8-13cc5fd94e49/kesia.jpg
Stealth,Core,Spell,Dream's End,3,stealth.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/f4bda991-150e-4dc1-a7ed-9f7c66329318/stealth.jpg
Targ'n,Kybar's Teeth,Magi,Dream's End,17,targn.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/f2724bd8-27ba-41f5-bd41-99bf4c8e970f/targn.jpg
Sorrowing Ogar,Underneath,Magi,Dream's End,15,sorrowing_ogar.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/f0eb0861-1f6b-4f53-9494-73fa83d334c4/sorrowing_ogar.jpg
The Hunt,Weave,Spell,Dream's End,1,the_hunt.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/eff721b4-5a32-41b2-b69b-1825a7d51efe/the_hunt.jpg
Elios,Arderial,Magi,Dream's End,10,elios.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/ef69d61e-5bd6-4ef8-8d5b-7e6c01693823/elios.jpg
Chogulith,Kybar's Teeth,Relic,Dream's End,2,chogulith.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/ece05abe-2c47-4cd2-b9f5-3784877d41e2/chogulith.jpg
Weave Winds,Weave,Spell,Dream's End,6,weave_winds.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/ea6be48e-4a9f-4140-85a8-5f8e3c5cb0a9/weave_winds.jpg
Tomorrow's Jewel,Universal,Relic,Dream's End,1,tomorrows_jewel.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/e9efb19e-f18b-4dd0-9bad-49f6cdf67ff1/tomorrows_jewel.jpg
Moga Pup,Kybar's Teeth,Creature,Dream's End,4,moga_pup.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/e9d976d0-db14-4677-a1cd-48e09b214549/moga_pup.jpg
Grass Hyren,Weave,Creature,Dream's End,6,grass_hyren.jpg,https://images.squarespace-cdn.com/content/v1/66f0d369bee947347e4513a0/e98f7e26-efcd-4859-807d-9a11e1b899b6/grass_hyren.jpg
